"AGE","SEX","RACE","MARST","EDUC","MINUTES","EDUCNUM"
34,"Female","White","Married","Advanced Degree",40,4
45,"Male","White","Single","Advanced Degree",50,4
44,"Female","White","Married","Four Year Degree",6,3
69,"Male","White","Married","Four Year Degree",60,3
31,"Male","Black","Married","Advanced Degree",35,4
30,"Female","Black","Married","Advanced Degree",35,4
59,"Female","White","Married","Advanced Degree",60,4
60,"Male","White","Married","Advanced Degree",60,4
55,"Male","Asian/Pacific Islander","Single","Advanced Degree",40,4
60,"Female","White","Separated/Divorced","Some College",40,2
44,"Female","Black","Single","Four Year Degree",40,3
28,"Female","Asian/Pacific Islander","Married","Advanced Degree",36,4
31,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
50,"Female","White","Separated/Divorced","Some College",40,2
50,"Male","White","Single","Four Year Degree",35,3
53,"Male","White","Single","Four Year Degree",40,3
45,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
28,"Male","White","Single","Four Year Degree",40,3
29,"Female","White","Single","Advanced Degree",35,4
29,"Female","White","Married","High School Degree",35,1
53,"Male","White","Married","High School Degree",35,1
32,"Female","White","Single","Four Year Degree",60,3
50,"Male","Black","Single","High School Degree",45,1
65,"Male","Black","Widowed","Advanced Degree",25,4
31,"Female","Asian/Pacific Islander","Single","Advanced Degree",60,4
37,"Female","Black","Single","Advanced Degree",40,4
50,"Male","White","Single","Some College",60,2
32,"Male","White","Single","Four Year Degree",65,3
29,"Male","White","Single","Four Year Degree",50,3
67,"Female","White","Single","Four Year Degree",37,3
68,"Female","White","Separated/Divorced","Advanced Degree",15,4
44,"Male","White","Single","Four Year Degree",12,3
50,"Female","White","Single","Some College",35,2
27,"Male","White","Married","Advanced Degree",40,4
30,"Female","White","Married","Advanced Degree",40,4
61,"Male","Asian/Pacific Islander","Single","Advanced Degree",60,4
70,"Male","White","Married","Four Year Degree",40,3
45,"Female","White","Single","Advanced Degree",18,4
80,"Female","White","Separated/Divorced","Four Year Degree",15,3
26,"Female","White","Single","Four Year Degree",40,3
56,"Male","Black","Single","Some College",35,2
32,"Male","White","Single","Some College",35,2
55,"Female","White","Single","High School Degree",35,1
35,"Male","White","Single","Four Year Degree",35,3
52,"Female","Black","Single","Advanced Degree",45,4
51,"Female","White","Separated/Divorced","Some College",40,2
34,"Male","White","Separated/Divorced","Four Year Degree",40,3
28,"Female","White","Single","Four Year Degree",40,3
32,"Male","White","Single","Advanced Degree",50,4
27,"Female","Asian/Pacific Islander","Single","Advanced Degree",55,4
29,"Male","White","Separated/Divorced","Four Year Degree",40,3
50,"Female","White","Married","Advanced Degree",50,4
68,"Male","White","Married","Advanced Degree",37,4
25,"Female","Asian/Pacific Islander","Single","Four Year Degree",50,3
40,"Male","White","Single","Advanced Degree",40,4
52,"Male","White","Separated/Divorced","Advanced Degree",40,4
42,"Female","White","Married","Advanced Degree",40,4
57,"Male","White","Single","Four Year Degree",21,3
39,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
55,"Male","White","Separated/Divorced","High School Degree",40,1
40,"Female","White","Married","Advanced Degree",55,4
49,"Male","White","Married","Advanced Degree",40,4
31,"Male","White","Single","Some College",40,2
45,"Male","Asian/Pacific Islander","Married","High School Degree",50,1
44,"Female","Asian/Pacific Islander","Married","High School Degree",50,1
69,"Female","Black","Separated/Divorced","High School Degree",14,1
27,"Female","White","Single","Four Year Degree",40,3
28,"Female","White","Single","Four Year Degree",40,3
36,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
35,"Female","Asian/Pacific Islander","Married","Four Year Degree",35,3
37,"Female","American Indian/Aleut/Eskimo","Single","Four Year Degree",35,3
30,"Male","White","Single","Four Year Degree",40,3
46,"Female","Black","Single","Some College",50,2
33,"Male","White","Single","Four Year Degree",45,3
31,"Female","White","Single","Four Year Degree",40,3
39,"Female","White","Separated/Divorced","Advanced Degree",50,4
61,"Male","White","Single","Advanced Degree",40,4
28,"Female","White","Single","Advanced Degree",45,4
29,"Male","White","Single","Four Year Degree",35,3
28,"Male","White","Single","Advanced Degree",40,4
34,"Male","Black","Single","Four Year Degree",35,3
31,"Male","Asian/Pacific Islander","Single","Four Year Degree",55,3
34,"Male","White","Single","Four Year Degree",70,3
46,"Male","White","Separated/Divorced","Advanced Degree",35,4
54,"Female","Black","Single","Some College",60,2
29,"Female","Black","Single","Four Year Degree",40,3
30,"Female","White","Single","Four Year Degree",65,3
31,"Male","White","Single","Four Year Degree",85,3
28,"Female","White","Single","Four Year Degree",50,3
29,"Female","White","Single","Four Year Degree",40,3
54,"Female","White","Separated/Divorced","High School Degree",40,1
45,"Male","Black","Single","High School Degree",40,1
60,"Male","White","Married","Four Year Degree",40,3
54,"Female","Asian/Pacific Islander","Married","Four Year Degree",40,3
29,"Male","White","Single","Four Year Degree",45,3
28,"Female","White","Single","Four Year Degree",45,3
27,"Female","White","Single","Four Year Degree",45,3
29,"Female","White","Single","Four Year Degree",40,3
37,"Male","White","Single","Four Year Degree",40,3
35,"Male","White","Single","Advanced Degree",40,4
28,"Male","Black","Single","Four Year Degree",50,3
50,"Female","Asian/Pacific Islander","Separated/Divorced","High School Degree",40,1
54,"Male","White","Married","Advanced Degree",42,4
25,"Male","White","Single","Four Year Degree",50,3
26,"Male","White","Single","Four Year Degree",40,3
25,"Male","White","Single","Four Year Degree",50,3
25,"Male","White","Single","Four Year Degree",50,3
39,"Female","White","Married","Advanced Degree",48,4
39,"Male","White","Married","Advanced Degree",50,4
31,"Female","Black","Single","Four Year Degree",36,3
36,"Male","Black","Married","Advanced Degree",45,4
41,"Female","Black","Married","Four Year Degree",40,3
26,"Female","White","Single","Four Year Degree",45,3
27,"Male","White","Single","Advanced Degree",45,4
27,"Male","White","Single","Four Year Degree",45,3
46,"Male","White","Married","Advanced Degree",50,4
45,"Female","White","Married","Advanced Degree",50,4
58,"Female","White","Married","Four Year Degree",40,3
53,"Male","White","Married","Four Year Degree",40,3
33,"Female","White","Single","Some College",35,2
32,"Male","White","Married","Four Year Degree",40,3
33,"Female","White","Married","Four Year Degree",40,3
30,"Male","Black","Single","Four Year Degree",40,3
50,"Male","Asian/Pacific Islander","Separated/Divorced","Some College",75,2
33,"Female","White","Single","Four Year Degree",40,3
42,"Male","Black","Single","Four Year Degree",40,3
27,"Male","White","Single","Advanced Degree",30,4
43,"Female","White","Single","Advanced Degree",45,4
41,"Female","White","Married","Four Year Degree",40,3
38,"Male","White","Married","Some College",40,2
32,"Male","White","Single","Four Year Degree",90,3
30,"Female","White","Single","Advanced Degree",80,4
33,"Female","Black","Single","Advanced Degree",40,4
41,"Male","Other","Single","Some College",55,2
39,"Male","White","Single","Some College",45,2
26,"Male","White","Single","Four Year Degree",40,3
42,"Male","Black","Single","Some College",40,2
53,"Male","White","Married","High School Degree",40,1
44,"Male","White","Married","High School Degree",45,1
51,"Male","White","Married","Four Year Degree",45,3
34,"Male","White","Married","High School Degree",40,1
32,"Female","White","Married","Some College",40,2
36,"Male","White","Married","Some College",40,2
38,"Female","White","Married","High School Degree",33,1
44,"Male","White","Married","Some College",40,2
56,"Female","White","Married","Advanced Degree",60,4
35,"Male","White","Married","Advanced Degree",50,4
36,"Female","White","Married","Advanced Degree",50,4
41,"Male","Black","Married","Some College",40,2
31,"Male","White","Single","Four Year Degree",40,3
36,"Female","White","Married","Four Year Degree",40,3
37,"Male","American Indian/Aleut/Eskimo","Married","Four Year Degree",40,3
29,"Male","Black","Single","Four Year Degree",40,3
44,"Male","White","Married","Some College",40,2
40,"Female","White","Married","Four Year Degree",50,3
32,"Female","White","Married","Four Year Degree",40,3
49,"Female","White","Widowed","Advanced Degree",50,4
36,"Male","White","Married","High School Degree",40,1
44,"Male","White","Married","Four Year Degree",40,3
46,"Female","White","Married","Four Year Degree",40,3
52,"Female","Asian/Pacific Islander","Widowed","Four Year Degree",40,3
59,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
38,"Male","White","Married","Advanced Degree",40,4
36,"Male","Asian/Pacific Islander","Single","Advanced Degree",40,4
31,"Male","White","Married","Four Year Degree",45,3
39,"Male","Asian/Pacific Islander","Married","Advanced Degree",50,4
39,"Female","Asian/Pacific Islander","Married","Advanced Degree",35,4
34,"Male","White","Married","Advanced Degree",50,4
34,"Female","White","Married","Four Year Degree",40,3
68,"Male","White","Married","Advanced Degree",40,4
32,"Male","White","Married","Advanced Degree",50,4
31,"Female","White","Married","Advanced Degree",40,4
51,"Male","Black","Separated/Divorced","High School Degree",32,1
31,"Female","Asian/Pacific Islander","Married","Four Year Degree",40,3
30,"Male","White","Married","Four Year Degree",55,3
41,"Male","Asian/Pacific Islander","Married","Advanced Degree",90,4
40,"Female","Asian/Pacific Islander","Married","Advanced Degree",60,4
30,"Female","Asian/Pacific Islander","Single","Advanced Degree",40,4
31,"Male","Asian/Pacific Islander","Single","Advanced Degree",40,4
34,"Male","White","Married","Four Year Degree",60,3
47,"Female","White","Single","Advanced Degree",40,4
40,"Male","Asian/Pacific Islander","Single","Advanced Degree",60,4
49,"Male","White","Married","Advanced Degree",60,4
48,"Female","Black","Separated/Divorced","Advanced Degree",70,4
48,"Female","White","Married","Some College",35,2
36,"Male","White","Married","Four Year Degree",50,3
60,"Male","Other","Single","Advanced Degree",40,4
35,"Male","Asian/Pacific Islander","Single","Advanced Degree",75,4
39,"Male","Asian/Pacific Islander","Single","Advanced Degree",40,4
43,"Female","Asian/Pacific Islander","Married","Advanced Degree",40,4
41,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
36,"Female","Asian/Pacific Islander","Single","Advanced Degree",40,4
41,"Male","Asian/Pacific Islander","Separated/Divorced","High School Degree",40,1
36,"Male","Asian/Pacific Islander","Separated/Divorced","Advanced Degree",40,4
33,"Male","Asian/Pacific Islander","Single","Advanced Degree",40,4
48,"Male","White","Married","Advanced Degree",50,4
37,"Male","White","Married","Advanced Degree",45,4
36,"Female","White","Married","Advanced Degree",45,4
43,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
47,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
49,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
36,"Male","White","Single","Four Year Degree",43,3
35,"Male","Asian/Pacific Islander","Single","Advanced Degree",80,4
56,"Male","White","Single","High School Degree",40,1
36,"Female","Black","Single","High School Degree",30,1
52,"Female","White","Separated/Divorced","Some College",40,2
64,"Female","Black","Single","Some College",35,2
42,"Female","Asian/Pacific Islander","Married","High School Degree",40,1
56,"Male","White","Married","Four Year Degree",40,3
65,"Male","White","Single","Four Year Degree",40,3
58,"Female","White","Married","Advanced Degree",32,4
26,"Female","White","Separated/Divorced","Four Year Degree",20,3
45,"Female","White","Separated/Divorced","Some College",30,2
77,"Male","White","Married","High School Degree",40,1
38,"Female","White","Separated/Divorced","Advanced Degree",40,4
52,"Female","White","Married","Some College",30,2
25,"Female","White","Single","Some College",30,2
48,"Male","White","Widowed","Advanced Degree",40,4
46,"Male","White","Married","Advanced Degree",40,4
44,"Female","White","Married","Some College",40,2
57,"Female","White","Married","Four Year Degree",35,3
49,"Male","White","Married","Advanced Degree",40,4
73,"Male","White","Separated/Divorced","Some College",40,2
32,"Male","Black","Married","Four Year Degree",40,3
30,"Female","White","Married","Advanced Degree",40,4
29,"Male","White","Married","Some College",40,2
29,"Female","White","Married","Advanced Degree",60,4
33,"Male","White","Single","Some College",40,2
26,"Female","White","Single","Some College",40,2
65,"Female","White","Married","Advanced Degree",40,4
47,"Male","White","Married","Advanced Degree",40,4
47,"Female","White","Married","Advanced Degree",40,4
39,"Male","White","Married","Four Year Degree",40,3
41,"Female","White","Married","Advanced Degree",40,4
55,"Female","White","Married","Advanced Degree",40,4
55,"Male","White","Married","Advanced Degree",40,4
34,"Male","White","Married","Four Year Degree",40,3
34,"Female","White","Married","Advanced Degree",40,4
40,"Female","Black","Single","Some College",40,2
41,"Male","Asian/Pacific Islander","Married","Some College",40,2
40,"Female","Asian/Pacific Islander","Married","Some College",40,2
31,"Male","White","Single","Some College",45,2
48,"Male","Black","Married","Four Year Degree",40,3
50,"Female","Black","Married","Some College",40,2
27,"Male","Black","Married","Some College",40,2
40,"Male","Black","Married","Advanced Degree",57,4
59,"Female","White","Married","Some College",20,2
73,"Male","White","Married","Advanced Degree",45,4
27,"Male","White","Single","Some College",35,2
52,"Male","White","Married","Four Year Degree",60,3
57,"Male","White","Married","Some College",90,2
44,"Female","White","Single","Some College",30,2
62,"Female","White","Married","Some College",32,2
61,"Male","White","Married","High School Degree",60,1
40,"Male","White","Married","Some College",40,2
33,"Female","White","Widowed","Some College",30,2
41,"Female","Black","Married","Four Year Degree",36,3
44,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
42,"Female","Asian/Pacific Islander","Married","Advanced Degree",40,4
26,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
46,"Male","Black","Married","High School Degree",40,1
52,"Female","White","Married","Some College",40,2
34,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
62,"Male","White","Married","High School Degree",40,1
63,"Female","White","Separated/Divorced","Some College",40,2
60,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
61,"Female","Asian/Pacific Islander","Married","Four Year Degree",40,3
67,"Female","Asian/Pacific Islander","Separated/Divorced","Four Year Degree",40,3
52,"Male","White","Separated/Divorced","Some College",40,2
41,"Male","White","Married","Advanced Degree",50,4
36,"Female","White","Married","Advanced Degree",50,4
34,"Female","White","Married","Some College",40,2
44,"Male","White","Married","Some College",40,2
68,"Female","White","Single","High School Degree",20,1
45,"Female","White","Married","Some College",40,2
46,"Male","White","Married","High School Degree",37,1
65,"Female","Black","Married","High School Degree",40,1
41,"Female","White","Separated/Divorced","Some College",40,2
41,"Female","White","Married","Some College",40,2
45,"Male","White","Married","Some College",40,2
46,"Male","White","Single","Four Year Degree",40,3
38,"Female","White","Separated/Divorced","Advanced Degree",35,4
30,"Male","Asian/Pacific Islander","Married","Advanced Degree",72,4
60,"Male","White","Married","High School Degree",48,1
62,"Female","White","Widowed","Some College",40,2
28,"Male","White","Single","Four Year Degree",40,3
27,"Female","White","Single","Four Year Degree",40,3
42,"Male","White","Single","Four Year Degree",50,3
74,"Male","White","Separated/Divorced","Four Year Degree",35,3
60,"Male","White","Married","Some College",40,2
39,"Female","Black","Single","Advanced Degree",40,4
65,"Male","White","Married","Some College",55,2
60,"Male","White","Single","Some College",40,2
39,"Male","White","Married","Some College",40,2
42,"Female","White","Married","Some College",40,2
55,"Female","White","Married","Some College",20,2
59,"Male","White","Married","Some College",40,2
54,"Female","White","Married","Four Year Degree",40,3
39,"Female","Black","Married","Some College",35,2
49,"Male","Asian/Pacific Islander","Married","Four Year Degree",35,3
47,"Female","Asian/Pacific Islander","Married","Advanced Degree",35,4
38,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
30,"Male","White","Married","Four Year Degree",40,3
57,"Female","Black","Married","High School Degree",25,1
33,"Female","White","Single","Advanced Degree",40,4
62,"Female","White","Separated/Divorced","Four Year Degree",35,3
34,"Female","White","Single","Four Year Degree",40,3
53,"Male","White","Married","Some College",40,2
50,"Female","American Indian/Aleut/Eskimo","Separated/Divorced","Some College",40,2
42,"Male","White","Single","Four Year Degree",40,3
56,"Female","Black","Married","Four Year Degree",40,3
29,"Male","Black","Single","Four Year Degree",40,3
69,"Female","Black","Separated/Divorced","High School Degree",30,1
55,"Male","White","Married","Four Year Degree",40,3
54,"Female","White","Married","Four Year Degree",40,3
25,"Male","White","Single","Four Year Degree",40,3
33,"Female","White","Married","Some College",40,2
30,"Male","White","Single","Some College",40,2
36,"Female","White","Single","Four Year Degree",40,3
35,"Female","White","Single","Advanced Degree",45,4
41,"Female","White","Separated/Divorced","High School Degree",20,1
55,"Female","Asian/Pacific Islander","Married","Four Year Degree",40,3
69,"Male","White","Married","High School Degree",40,1
37,"Male","Asian/Pacific Islander","Married","Some College",40,2
39,"Male","White","Single","Four Year Degree",40,3
27,"Male","White","Single","Four Year Degree",60,3
50,"Male","White","Married","Advanced Degree",40,4
40,"Female","White","Single","High School Degree",40,1
54,"Female","White","Married","High School Degree",35,1
54,"Male","Asian/Pacific Islander","Married","Some College",72,2
60,"Male","White","Married","Advanced Degree",40,4
42,"Male","White","Married","Four Year Degree",40,3
35,"Female","White","Single","Some College",24,2
38,"Female","Asian/Pacific Islander","Married","Four Year Degree",40,3
41,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
46,"Male","White","Single","Advanced Degree",35,4
64,"Female","White","Married","Advanced Degree",32,4
43,"Female","Black","Married","Four Year Degree",40,3
44,"Male","Black","Married","Four Year Degree",40,3
26,"Male","White","Married","Four Year Degree",40,3
26,"Female","Asian/Pacific Islander","Single","Four Year Degree",40,3
47,"Female","White","Single","Four Year Degree",40,3
42,"Female","Black","Single","Four Year Degree",40,3
56,"Male","White","Separated/Divorced","High School Degree",35,1
28,"Female","White","Married","Advanced Degree",32,4
38,"Male","White","Single","High School Degree",35,1
33,"Male","White","Single","Advanced Degree",40,4
50,"Female","Asian/Pacific Islander","Married","High School Degree",40,1
37,"Male","White","Married","High School Degree",40,1
55,"Male","Asian/Pacific Islander","Married","Some College",40,2
52,"Female","White","Separated/Divorced","Some College",40,2
62,"Male","Asian/Pacific Islander","Married","High School Degree",40,1
52,"Female","Asian/Pacific Islander","Married","High School Degree",40,1
26,"Female","Asian/Pacific Islander","Single","Four Year Degree",12,3
50,"Male","White","Separated/Divorced","Four Year Degree",40,3
65,"Male","White","Married","Some College",40,2
36,"Male","White","Single","Four Year Degree",40,3
27,"Male","White","Single","Four Year Degree",38,3
29,"Male","Black","Single","High School Degree",40,1
55,"Male","Black","Separated/Divorced","Four Year Degree",40,3
27,"Female","Black","Married","Four Year Degree",40,3
59,"Female","White","Separated/Divorced","Some College",40,2
25,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
35,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
26,"Male","White","Single","Some College",40,2
57,"Female","White","Separated/Divorced","High School Degree",40,1
49,"Male","White","Separated/Divorced","Some College",75,2
34,"Female","White","Single","Some College",75,2
26,"Female","White","Single","Advanced Degree",40,4
50,"Male","Black","Married","Some College",40,2
29,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
37,"Female","White","Married","Advanced Degree",35,4
31,"Male","White","Single","Four Year Degree",40,3
61,"Male","Asian/Pacific Islander","Married","High School Degree",40,1
36,"Male","Black","Married","Advanced Degree",40,4
37,"Female","Black","Married","Advanced Degree",40,4
50,"Female","White","Separated/Divorced","Some College",40,2
43,"Male","White","Single","Some College",40,2
51,"Female","White","Widowed","Four Year Degree",40,3
57,"Female","Asian/Pacific Islander","Married","Four Year Degree",60,3
52,"Female","White","Married","Some College",40,2
54,"Male","White","Married","Some College",40,2
39,"Male","White","Married","Four Year Degree",40,3
46,"Male","White","Married","Four Year Degree",40,3
40,"Female","White","Married","Some College",40,2
43,"Female","White","Separated/Divorced","Some College",40,2
55,"Male","White","Married","Some College",40,2
53,"Female","White","Married","Four Year Degree",40,3
57,"Male","White","Married","Advanced Degree",35,4
50,"Female","White","Married","Four Year Degree",35,3
39,"Female","Black","Married","High School Degree",40,1
45,"Male","Black","Married","High School Degree",40,1
43,"Female","Black","Separated/Divorced","Four Year Degree",37,3
45,"Male","Black","Separated/Divorced","Some College",20,2
36,"Female","Black","Married","Some College",40,2
45,"Female","Black","Separated/Divorced","Some College",40,2
59,"Male","White","Married","High School Degree",40,1
52,"Male","White","Single","High School Degree",40,1
31,"Female","White","Single","Four Year Degree",33,3
39,"Male","American Indian/Aleut/Eskimo","Single","High School Degree",46,1
48,"Male","White","Separated/Divorced","High School Degree",42,1
33,"Male","American Indian/Aleut/Eskimo","Single","High School Degree",45,1
29,"Female","White","Single","Four Year Degree",35,3
72,"Male","White","Single","Four Year Degree",40,3
36,"Female","Black","Married","Four Year Degree",38,3
34,"Male","Black","Married","Four Year Degree",53,3
26,"Male","Black","Single","Four Year Degree",40,3
25,"Male","White","Single","Some College",40,2
25,"Male","White","Single","Advanced Degree",40,4
25,"Female","White","Single","Some College",24,2
53,"Female","White","Married","Four Year Degree",40,3
31,"Male","White","Single","Four Year Degree",40,3
28,"Male","White","Single","Four Year Degree",40,3
34,"Male","White","Single","Four Year Degree",40,3
44,"Female","White","Separated/Divorced","Advanced Degree",40,4
55,"Female","Black","Separated/Divorced","High School Degree",32,1
51,"Male","White","Married","High School Degree",40,1
65,"Male","White","Married","High School Degree",40,1
33,"Male","White","Single","Some College",50,2
61,"Male","White","Married","High School Degree",35,1
40,"Female","White","Single","High School Degree",35,1
50,"Female","White","Separated/Divorced","High School Degree",40,1
42,"Female","White","Separated/Divorced","High School Degree",35,1
27,"Male","White","Single","Four Year Degree",40,3
27,"Male","White","Single","Some College",10,2
28,"Female","White","Single","Some College",40,2
26,"Female","White","Single","Advanced Degree",60,4
61,"Female","White","Married","Advanced Degree",40,4
35,"Female","Asian/Pacific Islander","Married","Advanced Degree",35,4
37,"Male","White","Married","Some College",35,2
52,"Female","White","Single","High School Degree",40,1
29,"Male","White","Single","Some College",40,2
28,"Female","White","Single","High School Degree",40,1
55,"Male","White","Married","High School Degree",40,1
49,"Female","White","Married","Some College",35,2
50,"Female","White","Separated/Divorced","Four Year Degree",40,3
31,"Male","White","Married","Some College",40,2
26,"Male","White","Single","High School Degree",40,1
32,"Female","White","Married","High School Degree",20,1
43,"Male","White","Married","Some College",40,2
37,"Male","White","Married","High School Degree",40,1
56,"Male","Black","Separated/Divorced","Four Year Degree",40,3
29,"Male","White","Single","Four Year Degree",35,3
37,"Female","White","Married","Some College",35,2
47,"Female","White","Married","Four Year Degree",25,3
45,"Male","Asian/Pacific Islander","Married","Some College",43,2
34,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
46,"Male","White","Married","Some College",40,2
30,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
35,"Female","Asian/Pacific Islander","Single","Four Year Degree",25,3
53,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
55,"Female","Asian/Pacific Islander","Married","Four Year Degree",25,3
37,"Female","Asian/Pacific Islander","Single","Some College",60,2
42,"Male","White","Married","Four Year Degree",60,3
37,"Female","White","Married","Four Year Degree",45,3
56,"Male","Black","Married","Four Year Degree",40,3
52,"Female","Black","Married","High School Degree",35,1
30,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
25,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
39,"Female","Asian/Pacific Islander","Married","Four Year Degree",40,3
51,"Female","Black","Married","Advanced Degree",40,4
27,"Female","Black","Single","Some College",40,2
60,"Female","Black","Widowed","High School Degree",30,1
28,"Female","Black","Single","Four Year Degree",40,3
70,"Female","Black","Separated/Divorced","Four Year Degree",40,3
62,"Female","Black","Separated/Divorced","Advanced Degree",40,4
25,"Female","Black","Single","Four Year Degree",40,3
61,"Male","White","Married","Some College",40,2
63,"Female","Black","Married","Some College",14,2
27,"Female","White","Married","Four Year Degree",35,3
30,"Male","White","Married","Some College",25,2
27,"Female","Other","Single","Four Year Degree",40,3
33,"Male","Asian/Pacific Islander","Single","Advanced Degree",40,4
51,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
47,"Female","Asian/Pacific Islander","Single","Four Year Degree",40,3
47,"Female","Asian/Pacific Islander","Single","Some College",40,2
53,"Female","Asian/Pacific Islander","Married","Advanced Degree",40,4
60,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
29,"Male","Black","Single","Four Year Degree",40,3
53,"Female","Black","Married","Four Year Degree",40,3
55,"Male","Black","Married","Some College",40,2
39,"Male","Asian/Pacific Islander","Married","Four Year Degree",50,3
30,"Female","Asian/Pacific Islander","Married","Some College",40,2
40,"Female","Black","Separated/Divorced","Some College",25,2
49,"Male","White","Married","Some College",40,2
56,"Female","White","Single","Advanced Degree",40,4
40,"Female","White","Married","Some College",40,2
61,"Female","Asian/Pacific Islander","Married","Four Year Degree",40,3
27,"Female","Asian/Pacific Islander","Single","Four Year Degree",23,3
47,"Male","Asian/Pacific Islander","Married","Some College",40,2
45,"Female","Asian/Pacific Islander","Married","Some College",40,2
60,"Female","White","Married","Four Year Degree",37,3
55,"Female","Black","Single","Advanced Degree",40,4
62,"Male","Asian/Pacific Islander","Married","Four Year Degree",40,3
29,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
36,"Male","White","Married","Some College",45,2
35,"Female","White","Married","Four Year Degree",40,3
55,"Male","White","Married","Advanced Degree",55,4
56,"Female","White","Married","Advanced Degree",47,4
54,"Male","White","Married","Four Year Degree",40,3
50,"Female","White","Married","Some College",26,2
43,"Male","White","Married","Advanced Degree",40,4
44,"Female","Asian/Pacific Islander","Married","Advanced Degree",40,4
31,"Female","Asian/Pacific Islander","Single","Advanced Degree",40,4
35,"Female","Asian/Pacific Islander","Single","Advanced Degree",60,4
45,"Male","White","Married","Advanced Degree",40,4
49,"Female","White","Married","Advanced Degree",40,4
39,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
34,"Female","Asian/Pacific Islander","Married","Advanced Degree",40,4
35,"Female","Black","Married","Some College",30,2
40,"Female","Black","Single","Four Year Degree",40,3
39,"Male","Asian/Pacific Islander","Single","Four Year Degree",40,3
43,"Female","Black","Widowed","Four Year Degree",42,3
45,"Female","White","Married","Some College",40,2
46,"Male","White","Married","Some College",40,2
60,"Female","White","Married","Four Year Degree",32,3
60,"Male","White","Married","Four Year Degree",40,3
58,"Female","White","Married","Some College",45,2
54,"Female","White","Married","Some College",40,2
29,"Male","White","Married","Four Year Degree",40,3
58,"Male","White","Married","Some College",40,2
70,"Female","White","Widowed","Four Year Degree",40,3
48,"Female","Asian/Pacific Islander","Married","Advanced Degree",3,4
44,"Male","Asian/Pacific Islander","Married","Advanced Degree",36,4
51,"Male","White","Single","Some College",40,2
68,"Female","White","Widowed","Four Year Degree",40,3
67,"Male","White","Married","Some College",40,2
65,"Female","White","Married","Advanced Degree",25,4
29,"Female","Black","Single","Four Year Degree",40,3
61,"Male","White","Married","Some College",40,2
58,"Female","White","Married","Four Year Degree",55,3
35,"Male","White","Single","Advanced Degree",40,4
61,"Female","White","Married","Four Year Degree",55,3
58,"Male","White","Married","Some College",40,2
35,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
69,"Male","Asian/Pacific Islander","Married","Four Year Degree",20,3
50,"Female","White","Married","Some College",37,2
50,"Female","White","Married","Advanced Degree",40,4
50,"Male","White","Married","Four Year Degree",40,3
62,"Female","White","Married","Four Year Degree",55,3
58,"Male","White","Married","Some College",40,2
52,"Male","White","Separated/Divorced","Some College",40,2
27,"Female","Black","Separated/Divorced","Advanced Degree",40,4
38,"Female","Black","Single","Some College",40,2
61,"Female","White","Married","Four Year Degree",55,3
60,"Male","White","Married","Advanced Degree",40,4
59,"Female","White","Married","Some College",32,2
43,"Female","White","Married","Four Year Degree",40,3
50,"Male","White","Married","Some College",40,2
59,"Male","Black","Married","Some College",40,2
29,"Female","Black","Single","Four Year Degree",40,3
26,"Female","Black","Single","Four Year Degree",40,3
38,"Male","White","Married","High School Degree",40,1
40,"Female","White","Married","Four Year Degree",40,3
49,"Female","White","Separated/Divorced","Some College",40,2
32,"Female","White","Married","Four Year Degree",40,3
36,"Male","Black","Married","Four Year Degree",40,3
38,"Male","White","Married","Some College",35,2
47,"Female","White","Married","Some College",40,2
45,"Male","White","Married","Advanced Degree",50,4
43,"Male","White","Married","Some College",40,2
58,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
40,"Male","Asian/Pacific Islander","Married","Some College",40,2
55,"Male","White","Married","Some College",40,2
45,"Female","White","Married","Some College",35,2
52,"Female","White","Married","Some College",40,2
48,"Male","Black","Married","Some College",40,2
